ID,group_id1,group_id2,ideology1,ideology2,ideological_label,income,Q1_immigration,Q2_defense,treatment,proposition_vote,state,year,log_income,weights
0001,16,5,-0.184285337128885,-1.01863678167971,Conservative,144277.598152959,6,10,0,1,1,1,11.879494487755,0.1
0002,5,7,-0.0602645029412733,-1.93882233049366,Conservative,76568.9321410205,9,10,0,1,2,1,11.2459466878302,0.3
0003,12,6,-0.3055497726587,-2.29968258605855,Conservative,125511.403839946,1,7,0,0,3,1,11.7401519006764,0.1
0004,15,1,0.556474027032424,1.0083952998087,Liberal,295449.854079774,2,5,1,1,4,1,12.5962544028823,0.3
0005,9,8,0.835940921903638,0.538358701131119,Liberal,30319.7342668487,1,10,0,1,5,1,10.3195540754319,1
0006,5,9,0.669716381561192,-0.851840067463846,Liberal,23264.7744292713,3,5,0,1,6,1,10.0546956685202,0.5
0007,6,9,0.44451574789824,1.0163508193096,Liberal,6713.57551783803,7,4,1,1,7,1,8.81188695210341,0.7
0008,16,4,-2.08145296745435,-0.725739702439998,Very Conservative,7683895.02066817,8,5,1,1,8,1,15.8546371407091,0.9
0009,4,4,0.670370833840157,-0.872893675354785,Liberal,13966.4410445679,6,2,0,1,9,1,9.54441266278476,0.3
0010,2,5,-0.128649227293451,-0.677144697893528,Conservative,27718.9588189671,9,10,1,1,10,1,10.2298718919551,0.7
0011,7,1,-1.65030560878683,0.788663483211029,Very Conservative,675981.055822395,6,3,1,1,11,1,13.4239203307011,1
0012,6,5,0.416800780918093,0.465131590815142,Liberal,19093.0253447264,1,6,1,1,12,1,9.85707838214811,0.3
0013,15,6,-0.50015425518076,1.18376435900201,Conservative,74181.5490660647,7,5,1,1,13,1,11.2142707333554,0.5
0014,14,5,0.0663209205151041,0.55672708455463,Liberal,14914.487935493,6,7,0,1,14,1,9.61008836417665,0.9
0015,20,9,0.636775834832682,-0.845988299665378,Liberal,189302.019443619,10,2,1,1,15,1,12.1510990050941,0.4
